,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,id,name,author,place,info,genre,receipt,valid,style1,style2
10,10,13,13,13,Автопортрет с палитрой и кистями в руке,Варнек (Варник) Александр Григорьевич,8,"Автопортрет, написанный в Риме, можно считать программным для раннего русского романтизма. Варнек намеренно использует укрупненный масштаб, чтобы придать своему облику максимум величественности. Решительный взгляд, направленный прямо перед собой, игра теней на лице, артистически запахнутый плащ, палитра с кистями, живописный вид за окном – все говорит, что перед нами Художник, особое, высшее существо, избранник судьбы, презирающий мелочное, сиюминутное. Яркий красный цвет шейного платка и пятна краски на палитре заставляют активно звучать в целом сдержанный колорит портрета. Варнек изображает себя на фоне окна (один из излюбленных мотивов эпохи). Окно понималось как обозначение грани посюстороннего мира и недостижимого идеала, символизируемого панорамой голубых гор","портрет, автопортрет","Пост. в 1929 из Музея иконописи и живописи им. И.С.Остроухова, Москва",True,Ориентализм,
11,11,14,14,14,"Актер А.П.Ленский в роли Петруччио в комедии В.Шекспира ""Укрощение строптивой"". 1883					",Крамской Иван Николаевич,20,,,Приобр. в 1961 у О.Г.Ленской,True,Реализм,
12,12,18,18,18,"Аллегория зимы в виде старика, греющего руки у огня",Боровиковский Владимир Лукич,7,,портрет,Пост. в 1925 из Румянцевского музея,True,Ориентализм,
13,13,19,19,19,Аллея в Альбано. 1837					,Лебедев Михаил Иванович,8,,пейзаж,Приобр. П.М.Третьяковым в 1883 у Н.Д.Быкова,True,Реализм,
14,14,20,20,20,Аллея в Альбано близ Рима. 1836					,Лебедев Михаил Иванович,8,,,Приобретено П.М.Третьяковым в 1883 у Н.Д.Быкова,True,Реализм,
15,15,24,24,24,"Анкор, еще анкор!",Федотов Павел Андреевич,15,"Картина создана художником в конце жизни. Незначительный сюжет приводит к большому философскому обобщению. Изображен офицер, заброшенный судьбой в глухой гарнизон и коротающий досуг, заставляя пуделя прыгать через трость. Монотонная бессмысленность такого времяпровождения подчеркивается тавтологией названия картины (""анкор"" по-французски означает ""еще""). Ночной зимний пейзаж за окном – символ человеческой неприкаянности, бесприютности. Фигура офицера погружена полностью в тень, черты лица не читаются – перед нами скорее авторский духовный двойник, его исповедь в фантасмагорическом, фиктивном мире. Цвет утрачивает определенность, мазок становится открытым и темпераментным. В центре оказывается не номинальный ""главный герой"", а сюжетно маловажная деталь – ярко освещенный натюрморт. Живописная выразительность доминирует здесь над литературно-ассоциативной",бытовой жанр,Пост. в 1929  из Музея иконописи и живописи им. И.С.Остроухова,True,,
16,16,27,27,27,"Аполлон, Гиацинт и Кипарис, занимающиеся музыкой и пением",Иванов Александр Андреевич,10,"Неоконченная картина. Сюжет картины представляет собой вольную фантазию художника на тему нескольких древнегреческих мифов. Бог солнца, искусства, музыки и поэзии Аполлон вместе со своими любимцами музицирует на лоне природы. Иванов говорил, что хочет изобразить ""наготу вместо натурного класса"", иначе говоря, соединить классическую красоту с живым романтическим чувством. Он выполняет этюды с античных скульптур (например, с головы Аполлона Бельведерского или барельефа с изображением спящего Эндимиона), но старается одушевить образы, наполнив их теплом и светом. Художник стремится оживить природу античной гармонией и в то же время воссоздать в ней античность не как набор привычных форм, а как абсолютный идеал, золотой век, о наступлении которого он мечтал всю жизнь. Возникает идиллический мир, ясный и хрупкий, неслучайно жанр идиллии столь популярен в поэзии того времени. В 1828 А.А.Дельвиг пишет идиллию ""Конец золотого века"", а сам Иванов, объясняя, почему не завершил картину, говорил, что ""утратил веселое расположение духа"", поскольку не мог не чувствовать утопичность своих мечтаний",историческая картина,Пост. в 1925 из Румянцевского музея,True,Академизм,
17,17,28,28,28,Аппиева дорога (Via Appia) при закате солнца,Иванов Александр Андреевич,10,"Аппиева дорога – древнейший путь, связывающий Рим с Южной Италией. Его называют ""дорогой катакомб"", поскольку вдоль него тянутся подземные галереи с усыпальницами, где хоронили христианских мучеников. Иванов разворачивает величественную панораму древней безжизненной земли. Огненно-бурая почва кажется выжженной, но не солнцем, а временем. Руины гробниц возникают как тени ушедших веков и культур. Рядом с ними изображенный на заднем плане купол собора Святого Петра выглядит крошечной точкой, едва заметной на фоне гор и неба",пейзаж,Приобр. П.М.Третьяковым,True,Академизм,
18,18,33,33,33,Ашрам,Рерих Николай Константинович,47,"Ашрам – это обитель мудрецов или отшельников в Древней Индии, которая обычно располагалась в отдаленных местах – в горах или в лесу. В контексте современного индуизма термин ""ашрам"" часто используют для обозначения религиозной общины, куда человек приходит для медитации, молитвы, совершения ритуала или духовного обновления. Рерих толковал это слово как освященное место, храм, монастырь, школа тайноведения. В картине ""Ашрам"" художник позволяет зрителю стать негласным и невидимым наблюдателем жизни этого укромного места. Опыт работы в театре позволил ему выбрать почти классическое ""кулисное"" решение композиции. Точно плотный занавес темно зеленого цвета драпируют большую часть картины густые заросли бамбука. Изумрудная зелень воды с силуэтом плывущей лодки и охристо-оранжевые построй и составляют предметный мир картины. После цветовой сдержанности ""северного"" ""Пантелеймона-целителя"" и прозрачности бескрайних просторов монгольской степи – картина ""Мать Чингис–хана"" – это произведение переносит зрителя в глубоко запрятанный от глаз уголок Цейлона. Путешествие художника в Монголию, Индию, Тибет – не только вехи биографии, но приобщение к Тайне и Истине, которые не каждому дано постигнуть",пейзаж,Пост. в 1949 из школы-интерната N2 МИД СССР,True,Романтизм,
19,19,34,34,34,Бабушкин сад,Поленов Василий Дмитриевич,35,"Продолжая линию А.К.Саврасова, родоначальника русского лирического пейзажа, В.Д.Поленов придает этому жанру более камерный, личный характер. Он часто вводит в изображения природы не только архитектурные мотивы, но и сценки повседневной жизни, называя свои произведения ""пейзажным бытовым жанром"". На картине в окружении заросшего сада запечатлен реальный московский особняк: дом Н.Л.Баумгартена, расположенный на углу Трубниковского и Дурновского переулков. Изображение его обитательниц, пожилой женщины и девушки, придает настроению картины ностальгический характер, вносит оттенок литературности. Одновременно черты театральности в композиционном решении картины вызывают ассоциацию со сценическим воплощением произведений русской литературы от И.С.Тургенева до А.П.Чехова","пейзаж, бытовой жанр",Пост. в 1892 из собр. С.М. Третьякова. Приобр. у автора.,True,Реализм,
20,20,36,36,36,Беление холста,Серебрякова Зинаида Евгеньевна,44,"Жизнь в Нескучном, расположенном между Курском и Харьковом, давала художнице много материала для творчества. Те, кого она писала, были ей хорошо знакомы, она наблюдала их из года в год. ""Беление холста"" должно было стать частью эпического цикла, куда вошла картина ""Жатва"" и задуманная ""Стрижка овец"". Простой трудовой процесс – беление холста – Серебрякова трактует как ритуальное действо. Она показывает спокойную красоту людей и мира, чему способствует живописный и линейный ритм картины, величавость поз женщин, низкая линия горизонта, обусловленная композицией. Так рождается особая тишина, которая скорее уместна в храме, чем в поле. Время замерло, остановилось. Этот день будет длиться вечно, как бесконечно движение жизни. Торжественная величавость и спокойная созерцательность героинь когда-то были найдены А.Г.Венециановым, так ценимым художницей. Но его работам более свойственно романтическое решение образов, а у Серебряковой – неоклассицизм: картина превращается в эпическое повествование",бытовой жанр,Дар общества поощрения художеств в 1920,True,Импрессионизм,Ориентализм
21,21,38,38,38,Березовая роща,Куинджи Архип Иванович,21,"Куинджи продолжил традиции русского романтического пейзажа. Художник предпочитал драматические состояние природы, эффектные сочетания света и цвета. ""Березовая роща"" ярко демонстрирует художественные принципы живописца. Картина написана фактически одним зеленым цветом и построена на резком контрасте солнечных пятен в центре и густой тени в глубине. Форсируя светотеневой контраст, художник добивается впечатления ослепительно яркого солнечного света. Симметричная композиция (ручей делит ее практически пополам), четко фиксированные пространственные планы рождают эффект искусно сочиненного вида: Куинджи работал по памяти, не пользуясь натурными этюдами",пейзаж,Приобр. П.М.Третьяковым в 1879 у автора,True,Реализм,
22,22,39,39,39,Биарриц. Перед грозой. Озеро в Ландах и горелый сосновый лес,Похитонов Иван Павлович,37,,,Дар П.М.Третьякова в 1896 Приобр. у автора,True,Реализм,
23,23,41,41,41,Богатый киргизский охотник с соколом. 1871					,Верещагин Василий Васильевич,27,,,Приобр. П.М.Третьяковым в 1874 у автора,True,Реализм,
24,24,46,46,46,Больной муж. 1881					,Максимов Василий Максимович,23,,,Приобр. П.М. Третьяковым у автора,True,Реализм,
25,25,47,47,47,Большая гавань на острове Капри. 1827-1828					,Щедрин Сильвестр Феодосиевич,8,,,Приобретено П.М.Третьяковым в 1868 у Д.Е.Бернардаки,True,Классицизм,
26,26,50,50,50,Боярыня Морозова,Суриков Василий Иванович,28,"Первоначальный эскиз картины, исполненной в 1887 г.",,Пост. в 1926  из Гос. Цветковской галереи,True,Реализм,
27,27,52,52,52,Братья Иосифа находят чашу в мешке Вениамина. 1831-1833					,Иванов Александр Андреевич,10,,,Приобр. П.М.Третьяковым в 1876 у С.А.Иванова,True,Академизм,
28,28,53,53,53,Братья Иосифа находят чашу в мешке Вениамина. 1831-1833					,Иванов Александр Андреевич,10,,,Приобр. П.М.Третьяковым,True,Академизм,
29,29,54,54,54,Буддийский храм в Дарджилинге. Сикким,Верещагин Василий Васильевич,27,,,Приобр. П.М.Третьяковым в 1880 на аукционе произведений В.В.Верещагина в Петербурге,True,Реализм,
30,30,56,56,56,Букет цветов. Флоксы. 1884					,Крамской Иван Николаевич,20,,,Приобр. П.М.Третьяковым в 1887 на посмертной выставке произведений И.Н.Крамского,True,Реализм,
31,31,58,58,58,В 1812 году. 1874					,Прянишников Илларион Михайлович,24,,,Приобр. П.М. Третьяковым,True,Реализм,
32,32,60,60,60,В дороге. Смерть переселенца,Иванов Сергей Васильевич,36,,,Приобр. П.М.Третьяковым у автора,True,Реализм,
33,33,61,61,61,В комнатах,Зеленцов Капитон Алексеевич,14,,,Пост. в 1929 из Музея иконописи и живописи им. И.С.Остроухова,True,Реализм,
34,34,62,62,62,В комнатах у А.А.Семенского в Тверской губернии,Славянский Федор Михайлович,14,"Работа ученика А.Г.Венецианова, крепостного крестьянина тверской помещицы А.Н.Семенской Федора Славянского, является одним из тех поэтичных интерьеров, который определяет суть жанра. В русском изобразительном искусстве жанр ""интерьер"" связывают именно с творчеством ""венециановцев"", ибо только в этом жанре они смогли воплотить ту поэтическую ""идиллию"" существования, которая была свойственна картинам их учителя. Подобная работа далека от интерьеров эпохи бидермайера немецких и австрийских художников, так как это не перечисление мебели в сильно уплотненных предметами помещениях, но ясный гармоничный мир, наполненный светом и воздухом. Кажется, что в этих просторных и чистых комнатах и мысли, и поступки людей должны быть такими же светлыми. Бессобытийность картины отвечает представлению о человеке несуетном, спокойно принимающем гармонию бытия и становящемся ее частью",интерьер,Пост. в 1929 из Музея иконописи и живописи им. И.С.Остроухова,True,Академизм,
35,35,64,64,64,В комнатах. Гостиная с колоннами на антресолях,Зеленцов Капитон Алексеевич,14,"В первой трети XIX века культ природы сменяется тягой к уюту частного жилья. Возникает жанр интерьера, в котором нашла свое отражение ""поэзия домашней жизни"". На картине изображен интерьер в стиле позднего классицизма. Из гостиной открываются две анфилады – одна парадная, другая заканчивается так называемым черным ходом – дверью для прислуги. Гостиная расположена на антресолях – верхнем полуэтаже – части дома, закрытой для посторонних и характерной для московских особняков первой половины XIX века. Идея ""частной жизни"", тихого ""домашнего гнезда"" связывалась в то время не со столицей Санкт-Петербургом, а с Москвой и сельскими поместьями.Интерьер залит ровным неярким светом, это царство созерцания, размышления, творчества, на что намекает рисунок с тремя грациями в простенке над часами",интерьер,Пост. в 1930 из Гос. Исторического музея,True,Реализм,
36,36,65,65,65,В комнатах. Портретная,Михайлов Григорий Карпович,14,,,Пост. в 1930 из Гос. Исторического музея,True,Реализм,
37,37,66,66,66,"В комнате (Мальчики, рассматривающие альбом с картинками)",Хруцкий (Chrucki) Иван (Jan) Фомич,14,,,Приобр. в 1950  у Г.П.Белякова,True,Реализм,
38,38,67,67,67,В костюме скомороха,Васнецов Виктор Михайлович,26,,,Приобр. П.М. Третьяковым,True,Модернизм,Символизм
39,39,68,68,68,В Крымских горах. 1886					,Левитан Исаак Ильич,37,,,Пост. в 1936 из профсоюзного рабочего клуба в селе Великое Ивановской области,True,Импрессионизм,Реализм
40,40,69,69,69,В лесу графини Мордвиновой. Петергоф,Шишкин Иван Иванович,25,,,Приобр. П.М.Третьяковым в 1892 у автора,True,Реализм,
41,41,71,71,71,В мастерской художника,Пукирев Василий Владимирович,16,"Сцена, изображенная на картине, весьма характерна для того времени. Мастерскую художника посетил покупатель – богатый купец, чей образ не лишен карикатурности. Его сопровождает священник и знаток, изучающий икону, возможно, нужную для домовой церкви купца-покупателя. По воспоминаниям ближайшего сподвижника П.М.Третьякова, Н.А.Мудрогеля, старейшего хранителя галереи, в образе художника запечатлен сам автор картины, а в покупателе – П.И.Губонин, крупный землевладелец, подрядчик по строительству железных дорог, благотворитель и меценат. Священник написан с В.И.Романовского, протоиерея церкви Святой Параскевы на Пятницкой улице в Москве, в эксперте-знатоке можно узнать учителя рисования одной из школ Замоскворечья. Близость к традициям ""натуральной школы"" – находить объекты для изображения в окружающей жизни – очевидна. Несомненен и чуть ироничный взгляд Пукирева на создавшуюся ситуацию. Разыгрываемая комическая сцена заставляет самого автора несколько строго и отстраненно наблюдать за происходящим",,Приобр. П.М. Третьяковым в 1868 у автора,True,Романтизм,Символизм
42,42,72,72,72,В мастерской художника,Маковский Константин Егорович,22,"Константин Маковский принадлежит к известной художественной семье. Живописцами были его отец Егор Иванович, два брата, Владимир и Николай, и сестра Александра. Естественно, что первые профессиональные навыки он получил в семье, позднее брал уроки у В.А.Тропинина, учился в Московском училище живописи и ваяния, в Императорской Академии художеств в Санкт-Петербурге. Участвовал в ""бунте 14"", когда группа учащихся во главе с И.Н.Крамским отказалась выполнять конкурсную работу. Экспонировался на выставках передвижников. Подобная биография делает честь любому живописцу и предполагает развитие демократических тенденций в творчестве. Но, начав с бытового крестьянского жанра (""Дети, бегущие от грозы""), Маковский предпочел писать постановочные исторические картины, эстетизирующие быт древнерусского боярства, создавать нарядные композиции, где портретный жанр естественно сочетается с натюрмортом и интерьером. На картине в мастерской Маковского изображен его четырехлетний сын Сергей, будущий известный художественный критик. Праздничность живописи, богатство предметного мира отвечают всем законам салонной живописи, столь порицаемой передвижниками",жанровая сцена,Пост. в 1927 из ГМФ,True,Реализм,Романтизм
43,43,73,73,73,В окрестностях Парижа. Экуан. 1880					,Боголюбов Алексей Петрович,19,,,Приобр. П.М. Третьяковым в 1882 у автора,True,Реализм,
44,44,74,74,74,В парке Киджи,Лебедев Михаил Иванович,8,"Романтическое мироощущение нашло самобытное выражение в творчестве Лебедева. Художник создал особый, легко узнаваемый тип пейзажа – это тенистые аллеи, раскрытые на зрителя, в просветах – панорама гор или моря. Пейзаж стал камерным, интимным, но рядом с уютным миром человека всегда присутствовал намек на романтическую мечту. Лебедев писал М.Н.Воробьеву: ""Здесь [в Италии] все совершенно иначе, все тоны – все краски гораздо деликатнее…"" Колорит его картин светлый, легкий и прозрачный, насыщенный светом и воздухом. Яркие цвета звучат лишь в одежде людей, чьи крошечные фигурки оживляют пейзаж",,Приобр. П.М.Третьяковым,True,Реализм,
